invoice_id,buyer_id,quantity,total_price,transaction_created_at
6716331,251820,19,430000.0,2020-10-25 09:15:42
353512,8944,30,1364000.0,2019-06-22 20:52:57
6604513,22267,2,337000.0,2020-10-21 08:17:45
6861472,56171,16,1085400.0,2020-10-30 12:32:01
6714893,140907,13,4143950.0,2020-10-25 08:10:20
6472565,1598989,2,25000.0,2020-10-16 06:33:05
7245652,243073,4,498750.0,2020-11-13 19:37:53
2213273,216795,23,3890500.0,2020-02-02 11:30:31
1732506,85671,3,834000.0,2019-12-17 08:29:20
4930742,1110998,1,127000.0,2020-08-14 11:58:11
6163301,505731,11,892633.0,2020-10-05 08:24:29
7046007,77979,6,688900.0,2020-11-06 13:10:14
6962354,76169,1,221000.0,2020-11-03 13:06:38
3968920,37435,1,141000.0,2020-07-01 11:02:57
5962607,1476015,6,206800.0,2020-09-28 07:07:59
5627736,1119905,26,931400.0,2020-09-15 08:27:21
3984357,120496,13,2437000.0,2020-07-02 07:39:22
2497357,217878,11,761000.0,2020-02-24 14:45:48
2820950,130583,3,45500.0,2020-03-26 06:56:11
7269556,228525,2,230400.0,2020-11-14 17:09:39
1885100,169875,14,586800.0,2019-12-31 16:09:46
6915596,26450,1,221000.0,2020-11-01 21:57:14
4773355,16128,3,423000.0,2020-08-07 11:38:59
6376755,1359960,5,707500.0,2020-10-12 17:03:21
6135997,1124300,3,191500.0,2020-10-03 16:34:43
6911878,240843,3,105400.0,2020-11-01 17:17:14
2299710,225932,2,19000.0,2020-02-10 01:24:41
6328972,1404378,22,1171250.0,2020-10-10 15:09:53
1221979,191248,6,34625.0,2019-10-28 06:54:57
6668655,172151,5,134400.0,2020-10-23 10:28:02
3198217,217123,2,1606000.0,2020-05-05 12:56:09
7013857,28903,5,1721500.0,2020-11-05 11:05:31
2772232,197594,14,838550.0,2020-03-20 22:20:21
6599341,230862,27,559900.0,2020-10-20 22:22:00
934067,53542,14,917700.0,2019-09-17 12:48:54
714526,85679,2,171000.0,2019-08-16 11:18:31
1328658,46837,22,598875.0,2019-11-08 15:50:18
4516942,1120112,4,66550.0,2020-07-27 06:15:00
2226821,128047,13,2089500.0,2020-02-03 15:57:42
5788464,1198136,1,48900.0,2020-09-21 15:57:36
5265526,124459,6,2085000.0,2020-08-29 12:46:57
5217230,128052,5,832000.0,2020-08-27 11:03:27
3406139,64708,19,3664500.0,2020-05-24 21:05:09
802028,149239,8,306200.0,2019-08-28 20:53:42
5380932,116712,2,191750.0,2020-09-03 16:41:41
4473767,97652,5,558250.0,2020-07-24 15:39:04
538716,91826,5,1227000.0,2019-07-23 13:20:10
7317448,959029,6,1404250.0,2020-11-16 18:56:28
2971204,99706,19,5588700.0,2020-04-11 08:22:36
7251990,29056,45,2261600.0,2020-11-14 07:42:36
1533758,67462,3,49950.0,2019-11-29 14:48:37
3864240,185381,11,2082800.0,2020-06-25 15:15:11
6557383,23749,7,408400.0,2020-10-19 12:57:16
4827668,1110678,3,125000.0,2020-08-10 09:00:51
3305447,151979,9,1202500.0,2020-05-15 11:14:57
6575745,260861,1,352000.0,2020-10-20 08:32:33
2954556,51160,7,573500.0,2020-04-09 10:09:03
5234643,6047,5,774150.0,2020-08-28 08:09:38
719225,110778,8,1285250.0,2019-08-17 08:20:22
1920190,108705,3,625500.0,2020-01-04 17:06:35
1026174,116909,32,2612400.0,2019-09-30 14:54:19
3221947,45477,6,250900.0,2020-05-07 23:13:53
3336533,225840,3,41200.0,2020-05-18 01:42:42
768295,22908,17,597600.0,2019-08-24 08:10:30
14352,574,17,1548885.0,2019-01-03 10:50:47
4911138,1102927,4,70850.0,2020-08-13 14:27:58
2160631,193013,3,60800.0,2020-01-28 11:15:32
6516835,1551484,27,442400.0,2020-10-17 14:26:36
3470253,143047,11,601900.0,2020-05-31 16:50:41
5975828,3783,1,369000.0,2020-09-28 12:48:59
6703305,412811,7,2018000.0,2020-10-24 13:32:59
1634319,122045,6,840000.0,2019-12-09 12:06:49
555727,35378,22,2101500.0,2019-07-25 21:35:26
2271383,26167,15,669850.0,2020-02-07 12:00:32
3359336,249493,13,3491000.0,2020-05-19 18:25:12
412788,51191,5,709025.0,2019-07-04 15:14:27
3954777,9062,9,1134500.0,2020-06-30 16:08:11
3153642,58646,4,686500.0,2020-04-30 13:55:29
3253847,222793,26,991000.0,2020-05-11 09:57:10
4697785,75094,15,1427700.0,2020-08-04 09:47:06
1981746,215164,3,60800.0,2020-01-11 07:40:08
1756822,216381,2,49750.0,2019-12-19 10:49:36
3551401,93322,9,2128000.0,2020-06-06 14:20:31
4657585,1131384,32,1008000.0,2020-08-02 11:57:14
371081,142756,4,984500.0,2019-06-27 06:42:06
5102751,83281,14,929600.0,2020-08-22 08:03:16
4460893,38768,17,8044400.0,2020-07-24 08:52:40
2339944,208031,19,1505000.0,2020-02-13 07:08:22
236127,57607,10,1357900.0,2019-05-18 09:57:11
5126279,186232,22,339800.0,2020-08-23 10:16:42
447955,39076,7,871050.0,2019-07-10 12:32:21
4958006,205511,2,77400.0,2020-08-15 13:48:50
4568322,201214,7,750600.0,2020-07-29 04:03:13
27680,29314,5,16200.0,2019-02-21 21:50:52
4670387,31060,2,168000.0,2020-08-03 08:46:09
3204109,212912,11,858600.0,2020-05-06 08:19:17
4228522,42848,2,917000.0,2020-07-14 07:03:32
2864165,70868,15,7766200.0,2020-03-30 15:26:24
1188139,148715,4,493000.0,2019-10-23 10:38:53
2017315,35091,6,686500.0,2020-01-14 16:18:42
489823,128015,3,411000.0,2019-07-16 15:11:23
4442214,46435,4,263000.0,2020-07-23 11:45:37
6292553,51573,20,1262154.0,2020-10-09 10:55:16
4285270,99203,8,1506250.0,2020-07-16 11:18:48
2821545,149992,17,732300.0,2020-03-26 07:49:38
3832135,257464,25,1048400.0,2020-06-24 07:29:29
5396851,40898,28,2135200.0,2020-09-04 12:03:23
6617101,95190,4,964750.0,2020-10-21 13:21:26
6931472,1606376,2,63500.0,2020-11-02 12:18:58
574831,109720,22,14088800.0,2019-07-28 23:12:15
2291703,177238,17,4199000.0,2020-02-09 08:18:59
5060692,47689,5,3445000.0,2020-08-20 10:30:44
1146313,163750,1,47000.0,2019-10-17 11:46:47
2911127,105241,10,503800.0,2020-04-04 14:12:08
494079,141108,1,70500.0,2019-07-17 09:39:12
4774193,6866,18,5892300.0,2020-08-07 12:10:34
1777525,199782,21,1235800.0,2019-12-21 09:03:20
1039355,38520,8,5257500.0,2019-10-02 11:19:52
4362171,1099,7,1558000.0,2020-07-20 08:47:57
6050894,63041,5,306600.0,2020-09-30 20:25:22
1167324,175189,15,2464000.0,2019-10-20 14:36:36
4506383,226745,12,1639000.0,2020-07-26 09:44:43
793073,159109,3,105500.0,2019-08-27 16:03:57
1566084,195810,3,343000.0,2019-12-02 17:07:10
812194,155281,20,4866050.0,2019-08-30 09:41:44
405132,124941,12,7832500.0,2019-07-03 12:40:21
3109586,246187,14,7424000.0,2020-04-25 12:28:42
1404621,53823,7,1230050.0,2019-11-17 09:17:43
3353226,244879,5,421650.0,2020-05-19 10:27:24
7221438,76217,14,1371500.0,2020-11-13 07:01:35
1907857,135064,27,2435650.0,2020-01-03 12:43:46
4762341,1131195,7,1392500.0,2020-08-06 21:29:26
4644007,41709,22,1300850.0,2020-08-01 14:04:25
3357734,122036,11,829100.0,2020-05-19 15:16:45
6756157,109119,3,560000.0,2020-10-26 18:11:20
5575549,123320,7,1214500.0,2020-09-12 13:17:17
5210602,70877,1,208500.0,2020-08-27 07:46:58
5976851,261857,11,9528000.0,2020-09-28 13:18:18
4347792,12554,13,2726100.0,2020-07-19 09:51:46
4668345,236660,9,1219500.0,2020-08-03 07:43:30
6791863,7770,8,1086500.0,2020-10-28 05:22:25
3256264,50410,3,226000.0,2020-05-11 11:58:59
3337070,111490,5,185400.0,2020-05-18 05:32:29
4815723,151964,14,2963000.0,2020-08-09 13:42:21
1598327,99442,8,819000.0,2019-12-05 16:50:19
5697246,79528,2,210500.0,2020-09-17 17:48:52
2189794,68611,1,218900.0,2020-01-31 07:58:09
1232617,71614,4,260900.0,2019-10-28 12:40:00
1527755,142811,6,65308.0,2019-11-29 07:19:05
7049795,188427,8,1825000.0,2020-11-06 15:03:40
296004,92469,24,5116200.0,2019-06-01 17:00:03
5219397,21088,8,909300.0,2020-08-27 12:11:40
5434542,1147109,27,1056320.0,2020-09-06 11:29:10
1346675,75401,17,2815250.0,2019-11-11 08:44:13
168827,21904,12,1976000.0,2019-04-29 09:08:48
7027705,252415,11,194240.0,2020-11-05 18:58:03
2572488,76606,12,2513500.0,2020-03-01 20:01:00
1802772,149106,4,204500.0,2019-12-23 15:08:37
3041065,181902,6,1627000.0,2020-04-18 10:26:14
2988749,208985,15,787300.0,2020-04-13 08:50:39
7278174,84583,4,328500.0,2020-11-15 09:32:47
4955257,1114996,4,70850.0,2020-08-15 11:59:06
6805720,127441,1,221000.0,2020-10-28 11:45:48
2015533,116481,1,176000.0,2020-01-14 13:35:57
4330572,116003,4,857000.0,2020-07-18 10:06:13
6867878,125752,13,812250.0,2020-10-30 15:35:31
1318028,40806,9,346000.0,2019-11-07 11:43:16
3098234,102275,7,481200.0,2020-04-24 09:31:44
3632367,229579,33,3017484.0,2020-06-12 08:40:58
5305997,162437,7,809900.0,2020-08-31 14:57:49
279755,33568,3,826500.0,2019-05-28 12:21:43
5900291,8031,7,715950.0,2020-09-25 11:58:20
3640343,1114758,3,250100.0,2020-06-12 14:58:10
4572288,1131242,5,602000.0,2020-07-29 08:39:22
6584530,719379,11,388400.0,2020-10-20 11:58:46
4711983,1118778,4,66550.0,2020-08-04 18:10:15
636291,64519,16,1063000.0,2019-08-06 10:25:14
5664625,3644,4,1100000.0,2020-09-16 14:08:05
161631,34082,7,780205.0,2019-04-26 16:58:24
2250743,147122,11,604300.0,2020-02-05 16:20:44
6055907,1396315,23,3780067.0,2020-10-01 07:07:19
1236712,137526,2,316300.0,2019-10-28 15:53:15
7241672,40262,5,525400.0,2020-11-13 16:12:32
6106390,43858,8,1518000.0,2020-10-02 15:41:51
6412382,33365,19,2079000.0,2020-10-13 23:45:17
2696844,173600,12,2679500.0,2020-03-13 14:10:41
6036368,236993,4,1758500.0,2020-09-30 11:50:16
6083585,1132068,9,1017500.0,2020-10-01 22:09:17
3090102,135042,8,432350.0,2020-04-23 10:52:26
3034231,121604,9,562300.0,2020-04-17 14:53:30
3890240,8977,48,4877855.0,2020-06-27 05:42:51
3297964,104606,6,503000.0,2020-05-14 18:27:39
4847776,37158,2,5537000.0,2020-08-11 06:13:58
2637277,114257,12,2021900.0,2020-03-07 19:35:16
6714988,34540,3,4621000.0,2020-10-25 08:15:08
2199473,171610,27,635350.0,2020-02-01 05:50:23
7168354,6786,5,298900.0,2020-11-11 09:36:13
898330,6335,13,635500.0,2019-09-11 20:33:09
3555302,21512,12,1248900.0,2020-06-06 20:12:41
5519101,44692,11,1683250.0,2020-09-10 08:39:34
5838768,156913,10,1562000.0,2020-09-23 11:26:31
1005603,132433,29,776400.0,2019-09-27 14:34:34
575533,155625,16,453400.0,2019-07-29 07:33:15
7144193,77041,8,1055200.0,2020-11-10 11:50:40
1275933,120979,6,853000.0,2019-11-02 08:24:07
408995,96890,4,228500.0,2019-07-04 09:01:00
395496,126960,7,901750.0,2019-07-02 08:30:29
3257323,46246,2,414000.0,2020-05-11 13:06:07
4742348,111658,3,488500.0,2020-08-06 07:37:36
6766861,43953,2,32000.0,2020-10-27 08:59:59
367777,135154,4,152500.0,2019-06-26 10:25:25
3547538,37185,14,1225350.0,2020-06-06 10:47:30
4039473,127527,23,13632200.0,2020-07-04 15:20:34
429865,63424,27,411650.0,2019-07-08 05:15:01
4949186,120209,6,813000.0,2020-08-15 08:46:01
3962131,256710,2,1770000.0,2020-07-01 07:33:18
835941,21215,13,2212300.0,2019-09-02 15:47:48
1731170,64509,9,500600.0,2019-12-17 06:17:53
1221790,10989,14,2026900.0,2019-10-28 06:42:04
4039902,47329,1,158500.0,2020-07-04 15:44:51
4733602,266641,5,139275.0,2020-08-05 16:04:29
6143495,209557,2,496000.0,2020-10-04 07:39:09
5719452,97542,11,1053750.0,2020-09-18 15:01:46
4653172,238202,12,1174800.0,2020-08-02 08:11:12
962487,89773,7,1123500.0,2019-09-21 13:47:42
4583822,44574,4,211150.0,2020-07-29 14:18:21
6270281,12979,16,3454000.0,2020-10-08 14:50:20
6850844,226626,11,1630900.0,2020-10-30 08:19:42
2338479,199458,12,4259500.0,2020-02-12 22:03:30
